epoch,loss,val_loss
0,0.6321660876274109,0.7956875562667847
1,0.5069038271903992,0.6864624619483948
2,0.5474104881286621,0.9672329425811768
3,0.5415359139442444,0.6291833519935608
4,0.5472169518470764,0.5717433094978333
5,0.5822345018386841,0.5964853167533875
6,0.6141595840454102,0.5709527730941772
7,0.635107696056366,0.8015316128730774
8,0.7392858862876892,0.7529063820838928
9,0.6537683606147766,0.7060245275497437
10,0.6679965853691101,0.7260100841522217
11,0.6453823447227478,0.7643319368362427
12,0.7539905905723572,0.7785153388977051
