epoch,loss,val_loss
0,0.12441281974315643,0.058283913880586624
1,0.09503736346960068,0.052252866327762604
2,0.04020948335528374,0.031136875972151756
3,0.03271720930933952,0.028896505013108253
4,0.03420724347233772,0.04215902462601662
5,0.03853124380111694,0.05704397335648537
6,0.03305801749229431,0.06943520903587341
7,0.041091009974479675,0.04964118450880051
8,0.032407984137535095,0.05265431106090546
9,0.025951022282242775,0.028204575181007385
10,0.011255759745836258,0.03311874344944954
11,0.007155729457736015,0.027638191357254982
12,0.007488996721804142,0.017602624371647835
13,0.016111116856336594,0.017019065096974373
14,0.0287899412214756,0.016228215768933296
15,0.02732175588607788,0.021412260830402374
16,0.019979888573288918,0.025698354467749596
17,0.020385971292853355,0.030581103637814522
18,0.026235027238726616,0.020681828260421753
19,0.8199580907821655,1.4613267183303833
