epoch,loss,val_loss
0,0.14551466703414917,0.08675649762153625
1,0.057178523391485214,0.04937964305281639
2,0.03418758884072304,0.022130087018013
3,0.023202823475003242,0.02158878743648529
4,0.018585633486509323,0.019763698801398277
5,0.031686633825302124,0.03032447025179863
6,0.02658098191022873,0.027479734271764755
7,0.022905204445123672,0.02445032447576523
8,0.01841077208518982,0.017746033146977425
9,0.016001589596271515,0.013917623087763786
10,0.012867201119661331,0.015575443394482136
11,0.01235873717814684,0.01104989554733038
12,0.01034329179674387,0.007587700616568327
13,0.008963901549577713,0.007304514292627573
14,0.00846779439598322,0.008652981370687485
15,0.021879147738218307,0.013684592209756374
16,0.017295582219958305,0.029934735968708992
17,1.7113476991653442,1.7778242826461792
