epoch,loss,val_loss
0,0.06135610491037369,0.04003262519836426
1,0.028886986896395683,0.024072539061307907
2,0.021396677941083908,0.01857030764222145
3,0.01835726760327816,0.02513190545141697
4,0.01752898469567299,0.020092681050300598
5,0.021207401528954506,0.024389056488871574
6,0.015973228961229324,0.012769829481840134
7,0.014113944955170155,0.01640951633453369
8,0.012916041538119316,0.012109796516597271
9,0.013310671783983707,0.01443482469767332
10,0.10124463587999344,0.33717992901802063
11,0.38980963826179504,0.4674920439720154
12,0.568905770778656,0.6273209452629089
13,0.6483612656593323,0.6801769733428955
